,Organism,plasmidAccId,plasmidLength,chromosomeAccId,chromosomeLength,plasmidGC,plasmidGC,chromosmeGC
2883,Campylobacter jejuni subsp. jejuni 81-176 (e-proteobacteria),NC_008770.1,37473,NC_008787.1,1616554,25.89,25.89,30.62
2884,ctadecabacter arcticus 238 (a-proteobacteria),NC_020909.1,118287,NC_020908.1,5200279,51.47,51.47,55.26
2885,ctadecabacter arcticus 238 (a-proteobacteria),NC_020910.1,159683,NC_020908.1,5200279,54.37,54.37,55.26
2886,Citrobacter freundii (enterobacteria),NZ_CP032179.1,260460,NZ_CP032184.1,5121015,51.85,51.85,51.67
2887,Citrobacter freundii (enterobacteria),NZ_CP032180.1,137578,NZ_CP032184.1,5121015,51.22,51.22,51.67
2888,Citrobacter freundii (enterobacteria),NZ_CP032181.1,81323,NZ_CP032184.1,5121015,54.63,54.63,51.67
2889,Citrobacter freundii (enterobacteria),NZ_CP032182.1,49806,NZ_CP032184.1,5121015,50.35,50.35,51.67
2890,Citrobacter freundii (enterobacteria),NZ_CP032183.1,121983,NZ_CP032184.1,5121015,51.74,51.74,51.67
2891,Rhizobium sp. NXC24 (a-proteobacteria),NZ_CP024312.1,271356,NZ_CP024311.1,4162445,58.31,58.31,59.85
2892,Rhizobium sp. NXC24 (a-proteobacteria),NZ_CP024313.1,489086,NZ_CP024311.1,4162445,56.78,56.78,59.85
2893,Rhizobium sp. NXC24 (a-proteobacteria),NZ_CP024314.1,2379650,NZ_CP024311.1,4162445,59.05,59.05,59.85
2894,Spongiibacter sp. IMCC21906 (g-proteobacteria),NZ_CP011478.1,12685,NZ_CP011477.1,3468984,49.86,49.86,50.67
2895,Gallibacterium anatis UMN179 (g-proteobacteria),NC_015461.1,6804,NC_015460.1,2687335,35.8,35.8,39.88
2896,Salmonella enterica subsp. enterica serovar Typhi (enterobacteria),NZ_CP029910.1,217083,NZ_CP029911.1,4784370,47.69,47.69,52.05
2897,Cronobacter universalis NCTC 9529 (enterobacteria),NZ_CP012258.1,129777,NZ_CP012257.1,4307096,57.03,57.03,57.85
2898,Enterococcus faecium (firmicutes),NZ_CP017798.1,171477,NZ_CP017797.1,2868375,35.21,35.21,38.04
2899,Enterococcus faecium (firmicutes),NZ_CP017799.1,54822,NZ_CP017797.1,2868375,35.63,35.63,38.04
2900,Enterococcus faecium (firmicutes),NZ_CP017800.1,36019,NZ_CP017797.1,2868375,36.04,36.04,38.04
2901,Enterococcus faecium (firmicutes),NZ_CP017801.1,10382,NZ_CP017797.1,2868375,31.22,31.22,38.04
2902,Xanthomonas fragariae (g-proteobacteria),NZ_LT853881.1,21045,NZ_LT853880.1,4247110,62.95,62.95,62.31
2903,Campylobacter concisus 13826 (e-proteobacteria),NC_009796.1,16457,NC_009802.2,2052007,33.46,33.46,39.43
2904,Campylobacter concisus 13826 (e-proteobacteria),NC_009795.1,30949,NC_009802.2,2052007,31.61,31.61,39.43
2905,Acinetobacter baumannii (g-proteobacteria),NZ_CP027243.1,70796,NZ_CP027246.1,3991275,33.38,33.38,39.27
2906,Acinetobacter baumannii (g-proteobacteria),NZ_CP027244.1,8731,NZ_CP027246.1,3991275,34.37,34.37,39.27
2907,Acinetobacter baumannii (g-proteobacteria),NZ_CP027245.1,70509,NZ_CP027246.1,3991275,41.37,41.37,39.27
2908,Xanthomonas citri subsp. citri (g-proteobacteria),NZ_CP009002.1,33702,NZ_CP009004.1,5124846,61.87,61.87,64.84
2909,Xanthomonas citri subsp. citri (g-proteobacteria),NZ_CP009003.1,63721,NZ_CP009004.1,5124846,61.34,61.34,64.84
2910,Borrelia miyamotoi LB-2001 (spirochetes),NZ_CP010328.2,30673,NC_022079.2,907293,28.59,28.59,28.72
2911,Moraxella osloensis (g-proteobacteria),NZ_CP014238.1,40342,NZ_CP014234.1,2434688,39.07,39.07,43.85
2912,Moraxella osloensis (g-proteobacteria),NZ_CP014237.1,35189,NZ_CP014234.1,2434688,38.87,38.87,43.85
2913,Moraxella osloensis (g-proteobacteria),NZ_CP014236.1,57463,NZ_CP014234.1,2434688,39.88,39.88,43.85
2914,Moraxella osloensis (g-proteobacteria),NZ_CP014235.1,81455,NZ_CP014234.1,2434688,41.0,41.0,43.85
2915,Cronobacter sakazakii (enterobacteria),NZ_CP011048.1,93905,NZ_CP011047.1,4511265,57.02,57.02,56.71
2916,Cronobacter sakazakii (enterobacteria),NZ_CP011049.1,4938,NZ_CP011047.1,4511265,54.88,54.88,56.71
2917,Cronobacter sakazakii (enterobacteria),NZ_CP011050.1,53457,NZ_CP011047.1,4511265,50.07,50.07,56.71
2918,Campylobacter peloridis LMG 23910 (e-proteobacteria),NZ_CP007767.1,47803,NZ_CP007766.1,1711369,26.43,26.43,28.51
2919,Campylobacter peloridis LMG 23910 (e-proteobacteria),NZ_CP007768.1,3621,NZ_CP007766.1,1711369,29.83,29.83,28.51
2920,Enterococcus faecium (firmicutes),NZ_CP016164.1,202822,NZ_CP016163.1,2823158,35.51,35.51,38.03
2921,Enterococcus faecium (firmicutes),NZ_CP016165.1,58308,NZ_CP016163.1,2823158,36.31,36.31,38.03
2922,Enterococcus faecium (firmicutes),NZ_CP016166.1,48256,NZ_CP016163.1,2823158,34.96,34.96,38.03
2923,Enterococcus faecium (firmicutes),NZ_CP016167.1,2125,NZ_CP016163.1,2823158,29.79,29.79,38.03
2924,Enterococcus faecium (firmicutes),NZ_CP016168.1,4796,NZ_CP016163.1,2823158,30.07,30.07,38.03
2925,Enterococcus faecium (firmicutes),NZ_CP016169.1,832,NZ_CP016163.1,2823158,35.94,35.94,38.03
2926,Mycobacterium chimaera (high GC Gram+),NZ_LT703506.1,324321,NZ_LT703505.1,6078679,64.56,64.56,67.66
2927,Mycobacterium chimaera (high GC Gram+),NZ_LT703507.1,97266,NZ_LT703505.1,6078679,65.98,65.98,67.66
2928,Mycobacterium chimaera (high GC Gram+),NZ_LT703508.1,21123,NZ_LT703505.1,6078679,65.11,65.11,67.66
2929,Mycobacterium chimaera (high GC Gram+),NZ_LT703509.1,39887,NZ_LT703505.1,6078679,65.0,65.0,67.66
2930,Mycobacterium chimaera (high GC Gram+),NZ_LT703510.1,32127,NZ_LT703505.1,6078679,64.84,64.84,67.66
2931,Salmonella enterica subsp. enterica (enterobacteria),NZ_CP026661.1,310921,NZ_CP026660.1,4698699,47.71,47.71,52.28
2932,Bosea sp. AS-1 (a-proteobacteria),NZ_CP022370.1,189990,NZ_CP022372.1,5536255,63.25,63.25,65.86
2933,Bosea sp. AS-1 (a-proteobacteria),NZ_CP022371.1,112144,NZ_CP022372.1,5536255,66.89,66.89,65.86
2934,Phaeobacter inhibens (a-proteobacteria),NZ_CP010600.1,226931,NZ_CP010599.1,3829207,58.51,58.51,59.8
2935,Phaeobacter inhibens (a-proteobacteria),NZ_CP010601.1,125569,NZ_CP010599.1,3829207,59.67,59.67,59.8
2936,Phaeobacter inhibens (a-proteobacteria),NZ_CP010602.1,115493,NZ_CP010599.1,3829207,56.81,56.81,59.8
2937,Phaeobacter inhibens (a-proteobacteria),NZ_CP010603.1,112846,NZ_CP010599.1,3829207,57.54,57.54,59.8
2938,Phaeobacter inhibens (a-proteobacteria),NZ_CP010604.1,78201,NZ_CP010599.1,3829207,62.62,62.62,59.8
2939,Phaeobacter inhibens (a-proteobacteria),NZ_CP010605.1,70262,NZ_CP010599.1,3829207,63.01,63.01,59.8
2940,Phaeobacter inhibens (a-proteobacteria),NZ_CP010606.1,60886,NZ_CP010599.1,3829207,56.77,56.77,59.8
2941,Phaeobacter inhibens (a-proteobacteria),NZ_CP010607.1,21529,NZ_CP010599.1,3829207,56.66,56.66,59.8
2942,Phaeobacter inhibens (a-proteobacteria),NZ_CP010608.1,5979,NZ_CP010599.1,3829207,56.65,56.65,59.8
2943,Phaeobacter inhibens (a-proteobacteria),NZ_CP010609.1,2020,NZ_CP010599.1,3829207,60.2,60.2,59.8
2944,Rhodococcus sp. YL-1 (high GC Gram+),NZ_CP017300.1,423076,NZ_CP017299.1,6367154,61.51,61.51,62.48
2945,Rhodococcus sp. YL-1 (high GC Gram+),NZ_CP017301.1,64544,NZ_CP017299.1,6367154,62.27,62.27,62.48
2946,Rhodococcus sp. YL-1 (high GC Gram+),NZ_CP017302.1,7616,NZ_CP017299.1,6367154,69.08,69.08,62.48
2947,Rhodococcus sp. YL-1 (high GC Gram+),NZ_CP017303.1,393079,NZ_CP017299.1,6367154,61.99,61.99,62.48
2948,Rhodococcus sp. YL-1 (high GC Gram+),NZ_CP017304.1,339489,NZ_CP017299.1,6367154,61.16,61.16,62.48
2949,Beijerinckia indica subsp. indica ATCC 9039 (a-proteobacteria),NC_010580.1,181736,NC_010581.1,4170153,56.2,56.2,57.06
2950,Beijerinckia indica subsp. indica ATCC 9039 (a-proteobacteria),NC_010578.1,66727,NC_010581.1,4170153,54.32,54.32,57.06
2951,Sinorhizobium fredii NGR234 (a-proteobacteria),NC_000914.2,536165,NC_012587.1,3925702,58.49,58.49,63.03
2952,Sinorhizobium fredii NGR234 (a-proteobacteria),NC_012586.1,2430033,NC_012587.1,3925702,62.3,62.3,63.03
2953,Staphylococcus aureus (firmicutes),NZ_CP026078.1,31954,NZ_CP026077.1,2697122,28.4,28.4,32.84
2954,Klebsiella quasipneumoniae (enterobacteria),NZ_CP014072.1,76312,NZ_CP014071.1,5284722,53.05,53.05,57.97
2955,Klebsiella quasipneumoniae (enterobacteria),NZ_CP014073.1,151998,NZ_CP014071.1,5284722,52.0,52.0,57.97
2956,Streptococcus iniae (firmicutes),NZ_CP024844.1,13781,NZ_CP024843.1,2090625,33.35,33.35,36.82
2957,Escherichia fergusonii ATCC 35469 (enterobacteria),NC_011743.1,55150,NC_011740.1,4588711,48.52,48.52,49.94
2958,Rhodobacter sp. LPB0142 (a-proteobacteria),NZ_CP017782.1,264008,NZ_CP017781.1,3462926,62.85,62.85,67.35
2959,Rhodobacter sp. LPB0142 (a-proteobacteria),NZ_CP017783.1,29119,NZ_CP017781.1,3462926,57.73,57.73,67.35
2960,Rhodobacter sp. LPB0142 (a-proteobacteria),NZ_CP017784.1,24776,NZ_CP017781.1,3462926,57.93,57.93,67.35
2961,Escherichia coli O43 str. RM10042 (E. coli),NZ_CP028120.1,86617,NZ_CP028122.1,5057506,52.77,52.77,50.75
2962,Escherichia coli O43 str. RM10042 (E. coli),NZ_CP028121.1,109466,NZ_CP028122.1,5057506,48.09,48.09,50.75
2963,Escherichia coli O43 str. RM10042 (E. coli),NZ_CP028123.1,8120,NZ_CP028122.1,5057506,49.68,49.68,50.75
2964,Escherichia coli (E. coli),NZ_CP027222.1,48390,NZ_CP027221.1,5313278,50.82,50.82,50.6
2965,Escherichia coli (E. coli),NZ_CP027223.1,72543,NZ_CP027221.1,5313278,47.67,47.67,50.6
2966,Citrobacter freundii (enterobacteria),NZ_CP026057.1,60032,NZ_CP026056.1,5064681,46.68,46.68,51.91
2967,Citrobacter freundii (enterobacteria),NZ_CP026058.1,326508,NZ_CP026056.1,5064681,48.34,48.34,51.91
2968,Acinetobacter baumannii (g-proteobacteria),NZ_CP024419.1,33036,NZ_CP024418.1,3999012,37.74,37.74,39.26
2969,Caldicellulosiruptor bescii DSM 6725 (firmicutes),NC_012036.1,8291,NC_012034.1,2919718,38.54,38.54,35.17
2970,Caldicellulosiruptor bescii DSM 6725 (firmicutes),NC_012037.1,3653,NC_012034.1,2919718,42.92,42.92,35.17
2971,Klebsiella pneumoniae (enterobacteria),NZ_CP014305.2,3223,NZ_CP012992.1,5309013,56.28,56.28,57.41
2972,Klebsiella pneumoniae (enterobacteria),NZ_CP012993.2,190072,NZ_CP012992.1,5309013,51.74,51.74,57.41
2973,Klebsiella pneumoniae (enterobacteria),NZ_CP012994.1,107110,NZ_CP012992.1,5309013,52.13,52.13,57.41
2974,Klebsiella pneumoniae (enterobacteria),NZ_CP012995.1,41072,NZ_CP012992.1,5309013,45.2,45.2,57.41
2975,Staphylococcus warneri (firmicutes),NZ_CP032158.1,25886,NZ_CP032159.1,2515743,29.25,29.25,32.85
2976,Escherichia coli (E. coli),NZ_CP021208.1,86725,NZ_CP021207.1,5013813,49.55,49.55,50.61
2977,Escherichia coli (E. coli),NZ_CP021209.1,223982,NZ_CP021207.1,5013813,45.83,45.83,50.61
2978,Escherichia coli (E. coli),NZ_CP021210.1,75553,NZ_CP021207.1,5013813,50.78,50.78,50.61
2979,Clostridium botulinum A str. ATCC 3502 (firmicutes),NC_009496.1,16344,NC_009495.1,3886916,26.8,26.8,28.24
2980,Sodalis praecaptivus (enterobacteria),NZ_CP006570.1,449897,NZ_CP006569.1,4709528,53.22,53.22,57.47
2981,Synechococcus sp. PCC 7003 (cyanobacteria),NZ_CP016475.1,34738,NZ_CP016474.1,3057091,45.79,45.79,49.55
2982,Synechococcus sp. PCC 7003 (cyanobacteria),NZ_CP016476.1,253256,NZ_CP016474.1,3057091,46.22,46.22,49.55
2983,Enterobacter cloacae (enterobacteria),NZ_CP022533.1,330060,NZ_CP022532.1,4810853,47.31,47.31,55.44
2984,Enterobacter cloacae (enterobacteria),NZ_CP022534.1,126208,NZ_CP022532.1,4810853,54.43,54.43,55.44
2985,Acetobacter pomorum (a-proteobacteria),NZ_CP023658.1,131455,NZ_CP023657.1,2848089,51.66,51.66,52.56
2986,Acetobacter pomorum (a-proteobacteria),NZ_CP023659.1,9160,NZ_CP023657.1,2848089,53.61,53.61,52.56
2987,Acetobacter pomorum (a-proteobacteria),NZ_CP023660.1,19216,NZ_CP023657.1,2848089,53.75,53.75,52.56
2988,Mycobacterium intracellulare (high GC Gram+),NZ_CP023150.1,24702,NZ_CP023149.1,5613941,65.32,65.32,67.93
2989,Escherichia coli 042 (E. coli),NC_017627.1,113346,NC_017626.1,5241977,49.55,49.55,50.56
2990,Yersinia pseudotuberculosis IP 31758 (enterobacteria),NC_009705.1,153140,NC_009708.1,4723306,40.35,40.35,47.54
2991,Yersinia pseudotuberculosis IP 31758 (enterobacteria),NC_009704.1,58679,NC_009708.1,4723306,40.22,40.22,47.54
2992,Yersinia enterocolitica (enterobacteria),NZ_CP016934.1,100790,NZ_CP016935.1,4661129,42.54,42.54,46.96
2993,Yersinia enterocolitica (enterobacteria),NZ_CP016936.1,88902,NZ_CP016935.1,4661129,43.95,43.95,46.96
2994,Borrelia garinii BgVir (spirochetes),NC_017725.1,27111,NC_017717.1,905534,25.93,25.93,28.44
2995,Borrelia garinii BgVir (spirochetes),NC_017804.1,61166,NC_017717.1,905534,26.75,26.75,28.44
2996,Francisella tularensis subsp. novicida (g-proteobacteria),NZ_CP009683.1,34471,NZ_CP009682.1,1890780,29.21,29.21,32.52
2997,Escherichia coli (E. coli),NZ_CP024279.1,28860,NZ_CP024278.1,5088038,48.98,48.98,50.72
2998,Escherichia coli (E. coli),NZ_CP024280.1,52655,NZ_CP024278.1,5088038,45.59,45.59,50.72
2999,Escherichia coli (E. coli),NZ_CP024281.1,84894,NZ_CP024278.1,5088038,53.28,53.28,50.72
3000,Saprospira grandis str. Lewin (CFB group bacteria),NC_016936.1,54948,NC_016940.1,4345237,46.49,46.49,46.36
3001,Candidatus Profftella armatura (b-proteobacteria),NZ_CP012592.1,5458,NZ_CP012591.1,457565,23.91,23.91,24.27
3002,Microvirga ossetica (a-proteobacteria),NZ_CP016617.1,1343367,NZ_CP016616.1,5843140,61.59,61.59,63.49
3003,Microvirga ossetica (a-proteobacteria),NZ_CP016619.1,977332,NZ_CP016616.1,5843140,61.34,61.34,63.49
3004,Microvirga ossetica (a-proteobacteria),NZ_CP016618.1,712299,NZ_CP016616.1,5843140,61.46,61.46,63.49
3005,Microvirga ossetica (a-proteobacteria),NZ_CP016620.1,593709,NZ_CP016616.1,5843140,61.22,61.22,63.49
3006,Microvirga ossetica (a-proteobacteria),NZ_CP016621.1,161204,NZ_CP016616.1,5843140,60.53,60.53,63.49
3007,Piscirickettsia salmonis (g-proteobacteria),NZ_CP013769.1,153216,NZ_CP013768.1,3054745,38.91,38.91,39.73
3008,Piscirickettsia salmonis (g-proteobacteria),NZ_CP013770.1,36218,NZ_CP013768.1,3054745,38.49,38.49,39.73
3009,Piscirickettsia salmonis (g-proteobacteria),NZ_CP013771.1,36063,NZ_CP013768.1,3054745,39.33,39.33,39.73
3010,Piscirickettsia salmonis (g-proteobacteria),NZ_CP013772.1,27957,NZ_CP013768.1,3054745,39.51,39.51,39.73
3011,Helicobacter pylori Lithuania75 (e-proteobacteria),NC_017363.1,16029,NC_017362.1,1624644,33.68,33.68,38.92
3012,Campylobacter coli (e-proteobacteria),NZ_CP017026.1,180543,NZ_CP017025.1,1797243,28.45,28.45,31.25
3013,Campylobacter coli (e-proteobacteria),NZ_CP017027.1,4454,NZ_CP017025.1,1797243,31.1,31.1,31.25
3014,Campylobacter coli (e-proteobacteria),NZ_CP017028.1,3142,NZ_CP017025.1,1797243,31.89,31.89,31.25
3015,Escherichia coli O169:H41 (E. coli),NZ_CP024224.1,20005,NZ_CP024223.1,4943397,52.18,52.18,50.51
3016,Escherichia coli O169:H41 (E. coli),NZ_CP024225.1,27947,NZ_CP024223.1,4943397,52.75,52.75,50.51
3017,Escherichia coli O169:H41 (E. coli),NZ_CP024226.1,85864,NZ_CP024223.1,4943397,50.22,50.22,50.51
3018,Escherichia coli O169:H41 (E. coli),NZ_CP024227.1,145086,NZ_CP024223.1,4943397,46.15,46.15,50.51
3019,Shewanella sp. MR-7 (g-proteobacteria),NC_008320.1,6499,NC_008322.1,4792610,43.05,43.05,47.87
3020,Salmonella enterica subsp. enterica serovar Typhi (enterobacteria),NZ_CP029953.1,217395,NZ_CP029954.1,4784767,47.68,47.68,52.04
3021,Bacillus mycoides (firmicutes),NZ_CP009650.1,273588,NZ_CP009651.1,5229095,33.44,33.44,35.81
3022,Bacillus mycoides (firmicutes),NZ_CP009649.1,140953,NZ_CP009651.1,5229095,34.0,34.0,35.81
3023,Bacillus mycoides (firmicutes),NZ_CP009648.1,11903,NZ_CP009651.1,5229095,32.49,32.49,35.81
3024,Bacillus mycoides (firmicutes),NZ_CP009647.1,11902,NZ_CP009651.1,5229095,31.31,31.31,35.81
3025,Bacillus mycoides (firmicutes),NZ_CP009645.1,4920,NZ_CP009651.1,5229095,33.05,33.05,35.81
3026,Bacillus mycoides (firmicutes),NZ_CP009646.1,4602,NZ_CP009651.1,5229095,33.75,33.75,35.81
3027,Hydrogenophilus thermoluteolus (proteobacteria),NZ_AP018559.1,65637,NZ_AP018558.1,2223143,58.27,58.27,61.73
3028,Clostridium perfringens (firmicutes),NZ_CP009558.1,56577,NZ_CP009557.1,3338532,27.28,27.28,28.43
3029,Escherichia coli (E. coli),NZ_CP021176.1,60961,NZ_CP021175.1,5041366,42.36,42.36,50.79
3030,Escherichia coli (E. coli),NZ_CP021177.1,154099,NZ_CP021175.1,5041366,48.53,48.53,50.79
3031,Lactobacillus helveticus (firmicutes),NZ_CP015499.1,7514,NZ_CP015498.1,2191149,35.15,35.15,37.07
3032,Klebsiella pneumoniae (enterobacteria),NZ_CP032195.1,143515,NZ_CP032200.1,5309987,51.25,51.25,57.4
3033,Klebsiella pneumoniae (enterobacteria),NZ_CP032196.1,109398,NZ_CP032200.1,5309987,49.35,49.35,57.4
3034,Klebsiella pneumoniae (enterobacteria),NZ_CP032197.1,73502,NZ_CP032200.1,5309987,53.89,53.89,57.4
3035,Klebsiella pneumoniae (enterobacteria),NZ_CP032198.1,58029,NZ_CP032200.1,5309987,54.44,54.44,57.4
3036,Klebsiella pneumoniae (enterobacteria),NZ_CP032199.1,9294,NZ_CP032200.1,5309987,55.16,55.16,57.4
3037,Bordetella flabilis (b-proteobacteria),NZ_CP016173.1,118591,NZ_CP016172.1,5835727,58.16,58.16,66.14
3038,Pandoraea oxalativorans (b-proteobacteria),NZ_CP011518.2,633357,NZ_CP011253.3,5630311,63.87,63.87,63.12
3039,Pandoraea oxalativorans (b-proteobacteria),NZ_CP011519.2,126976,NZ_CP011253.3,5630311,60.54,60.54,63.12
3040,Pandoraea oxalativorans (b-proteobacteria),NZ_CP011520.2,75108,NZ_CP011253.3,5630311,59.75,59.75,63.12
3041,Pandoraea oxalativorans (b-proteobacteria),NZ_CP011521.2,34979,NZ_CP011253.3,5630311,58.88,58.88,63.12
3042,Salmonella enterica (enterobacteria),NZ_CP030232.1,87319,NZ_CP030231.1,4603878,49.67,49.67,52.39
3043,Bacillus anthracis str. A16 (firmicutes),NZ_CP001971.2,181771,NZ_CP001970.2,5228842,32.53,32.53,35.38
3044,Bacillus anthracis str. A16 (firmicutes),NZ_CP001972.2,94833,NZ_CP001970.2,5228842,33.04,33.04,35.38
3045,Aeromonas media WS (g-proteobacteria),NZ_CP007568.1,11276,NZ_CP007567.1,4777154,55.96,55.96,60.74
3046,Methylomonas sp. DH-1 (g-proteobacteria),NZ_CP014361.1,277875,NZ_CP014360.1,4849532,51.66,51.66,56.47
3047,Aeromonas sp. O23A (g-proteobacteria),NZ_CP021655.1,4161,NZ_CP021654.1,4811606,54.31,54.31,58.41
3048,Aeromonas sp. O23A (g-proteobacteria),NZ_CP021656.1,7621,NZ_CP021654.1,4811606,52.55,52.55,58.41
3049,Aeromonas sp. O23A (g-proteobacteria),NZ_CP021657.1,51944,NZ_CP021654.1,4811606,44.71,44.71,58.41
3050,Aeromonas sp. O23A (g-proteobacteria),NZ_CP021658.1,60010,NZ_CP021654.1,4811606,50.49,50.49,58.41
3051,Hymenobacter sp. DG25B (CFB group bacteria),NZ_CP010055.1,185052,NZ_CP010054.1,3874646,59.12,59.12,57.33
3052,Hymenobacter sp. DG25B (CFB group bacteria),NZ_CP010056.1,169180,NZ_CP010054.1,3874646,58.27,58.27,57.33
3053,Hymenobacter sp. DG25B (CFB group bacteria),NZ_CP010057.1,131151,NZ_CP010054.1,3874646,60.56,60.56,57.33
3054,Piscirickettsia salmonis (g-proteobacteria),NZ_CP013774.1,138636,NZ_CP013773.1,3046533,38.95,38.95,39.74
3055,Piscirickettsia salmonis (g-proteobacteria),NZ_CP013775.1,36081,NZ_CP013773.1,3046533,39.32,39.32,39.74
3056,Piscirickettsia salmonis (g-proteobacteria),NZ_CP013776.1,36245,NZ_CP013773.1,3046533,38.5,38.5,39.74
3057,Piscirickettsia salmonis (g-proteobacteria),NZ_CP013777.1,27962,NZ_CP013773.1,3046533,39.52,39.52,39.74
3058,Acinetobacter baumannii (g-proteobacteria),NZ_CP027610.1,16095,NZ_CP027611.1,4233827,35.32,35.32,39.12
3059,Gordonia sp. YC-JH1 (high GC Gram+),NZ_CP025436.1,91767,NZ_CP025435.1,4101557,64.2,64.2,68.13
3060,Methylobacterium nodulans ORS 2060 (a-proteobacteria),NC_011892.1,487734,NC_011894.1,7772460,65.88,65.88,68.86
3061,Methylobacterium nodulans ORS 2060 (a-proteobacteria),NC_011887.1,458070,NC_011894.1,7772460,65.65,65.65,68.86
3062,Methylobacterium nodulans ORS 2060 (a-proteobacteria),NC_011893.1,40463,NC_011894.1,7772460,64.19,64.19,68.86
3063,Methylobacterium nodulans ORS 2060 (a-proteobacteria),NC_011895.1,37542,NC_011894.1,7772460,61.56,61.56,68.86
3064,Methylobacterium nodulans ORS 2060 (a-proteobacteria),NC_011888.1,20286,NC_011894.1,7772460,61.37,61.37,68.86
3065,Methylobacterium nodulans ORS 2060 (a-proteobacteria),NC_011889.1,12638,NC_011894.1,7772460,60.45,60.45,68.86
3066,Methylobacterium nodulans ORS 2060 (a-proteobacteria),NC_011890.1,9829,NC_011894.1,7772460,67.24,67.24,68.86
3067,Mesorhizobium amorphae CCNWGS0123 (a-proteobacteria),NZ_CP015319.1,102093,NZ_CP015318.1,6268270,59.01,59.01,63.44
3068,Mesorhizobium amorphae CCNWGS0123 (a-proteobacteria),NZ_CP015320.1,17414,NZ_CP015318.1,6268270,58.95,58.95,63.44
3069,Mesorhizobium amorphae CCNWGS0123 (a-proteobacteria),NZ_CP015321.1,7607,NZ_CP015318.1,6268270,63.94,63.94,63.44
3070,Mesorhizobium amorphae CCNWGS0123 (a-proteobacteria),NZ_CP015322.1,948568,NZ_CP015318.1,6268270,59.61,59.61,63.44
3071,Enterobacter cloacae ECNIH2 (enterobacteria),NZ_CP008824.1,319976,NZ_CP008823.1,4852980,52.42,52.42,55.46
3072,Enterobacter cloacae ECNIH2 (enterobacteria),NZ_CP008825.1,282439,NZ_CP008823.1,4852980,46.88,46.88,55.46
3073,Enterobacter cloacae ECNIH2 (enterobacteria),NZ_CP008826.1,47290,NZ_CP008823.1,4852980,48.88,48.88,55.46
3074,Klebsiella pneumoniae (enterobacteria),NZ_CP013324.1,166486,NZ_CP013322.1,5319154,52.44,52.44,57.57
3075,Klebsiella pneumoniae (enterobacteria),NZ_CP013323.1,257944,NZ_CP013322.1,5319154,52.72,52.72,57.57
3076,Klebsiella pneumoniae (enterobacteria),NZ_CP013321.1,3741,NZ_CP013322.1,5319154,45.9,45.9,57.57
3077,Klebsiella pneumoniae (enterobacteria),NZ_CP013326.1,77808,NZ_CP013322.1,5319154,53.33,53.33,57.57
3078,Klebsiella pneumoniae (enterobacteria),NZ_CP013325.1,49565,NZ_CP013322.1,5319154,48.11,48.11,57.57
3079,Streptomyces sp. S8 (high GC Gram+),NZ_CP015446.1,72789,NZ_CP015362.1,7529075,70.37,70.37,72.31
3080,Bordetella trematum (b-proteobacteria),NZ_LT546646.1,5396,NZ_LT546645.1,4480141,67.23,67.23,65.54
3081,Escherichia coli W (E. coli),NC_017637.1,102536,NC_017635.1,4900968,49.95,49.95,50.84
3082,Escherichia coli W (E. coli),NC_017636.1,5360,NC_017635.1,4900968,46.03,46.03,50.84
3083,Salmonella enterica subsp. enterica serovar Enteritidis (enterobacteria),NZ_CP032850.1,59387,NZ_CP032851.1,4679739,51.92,51.92,52.17
3084,Kitasatospora aureofaciens (high GC Gram+),NZ_CP020568.1,252068,NZ_CP020567.1,6824334,71.16,71.16,72.62
3085,Rhizobium phaseoli (a-proteobacteria),NZ_CP013575.1,96338,NZ_CP013574.1,4394011,56.63,56.63,61.74
3086,Rhizobium phaseoli (a-proteobacteria),NZ_CP013576.1,352133,NZ_CP013574.1,4394011,61.76,61.76,61.74
3087,Rhizobium phaseoli (a-proteobacteria),NZ_CP013577.1,414617,NZ_CP013574.1,4394011,62.34,62.34,61.74
3088,Rhizobium phaseoli (a-proteobacteria),NZ_CP013578.1,459642,NZ_CP013574.1,4394011,57.96,57.96,61.74
3089,Rhizobium phaseoli (a-proteobacteria),NZ_CP013579.1,1189373,NZ_CP013574.1,4394011,60.89,60.89,61.74
3090,Coxiella burnetii RSA 331 (g-proteobacteria),NC_010115.1,37317,NC_010117.1,2016427,39.33,39.33,42.76
3091,Vibrio cholerae (g-proteobacteria),NZ_CP033514.1,171829,NZ_CP033515.1,3075249,51.91,51.91,47.67
3092,Actinobacillus pleuropneumoniae (g-proteobacteria),NZ_CP022716.1,7699,NZ_CP022715.1,2357806,60.93,60.93,41.2
